Name;XT;Module;Channel

CEMENT_M_1;AI;1;1
WATER_M_1;AI;1;2
ADDITIONS_M_1;AI;1;3
FILLERS_M_1;AI;1;4

MIXER_ON_1;DO;2;1
MIXER_OFF_1;DO;2;2
MIXER_BELL_1;DO;2;3
MIXER_OPEN_1;DO;2;4
MIXER_CLOSE_1;DO;2;5
DCEMENT_OPEN_1;DO;2;6
DWATER_OPEN_1;DO;2;7
DADDITIONS_OPEN_1;DO;2;8
CONVEYOR_ON_1;DO;3;1
TCONVEYOR_ON_1;DO;3;2
AUGER_ON_1;DO;3;3
AUGER_ON_2;DO;3;4
WATER_OPEN_1;DO;3;5
ADDITION_OPEN_1;DO;3;6
ADDITION_OPEN_2;DO;3;7
FILLER_OPEN_1;DO;3;8

MIXER_ISON_1;DI;4;1
MIXER_CLOSED_1;DI;4;2
MIXER_OPENED_1;DI;4;3
DCEMENT_CLOSED_1;DI;4;4
DWATER_CLOSED_1;DI;4;5
DADDITION_CLOSED_1;DI;4;6
CONVEYOR_ISON_1;DI;4;7
TCONVEYOR_ISON_1;DI;4;8
AUGER_ISON_1;DI;4;1
AUGER_ISON_2;DI;5;2
WATER_CLOSED_1;DI;5;3
ADDITION_CLOSED_1;DI;5;4
ADDITION_CLOSED_2;DI;5;5
FILLERS_CLOSED_1;DI;5;6
FILLERS_CLOSED_2;DI;5;7
FILLERS_CLOSED_3;DI;5;8
HEARTBEAT;DI;6;1
