Name;XT;Module;Channel

WI05;AI;1;1
WI07;AI;1;2
WI03;AI;1;3
WI14;AI;1;4

TI4;AI;2;1
TI6;AI;2;2
LI1;AI;2;3
LI2;AI;2;4

TI3;AI;3;1
LI4;AI;3;2
WI16;AI;3;3
LI6;AI;3;4

LI17;AI;4;1
TI17;AI;4;2

QS13;CNT8;5;1
QS6_1;CNT8;5;2
QS8;CNT8;5;3
QS9;CNT8;5;4
MSO1;DI;5;6
VSC1;DI;5;7
PSO2;DI;5;8

MSO3;DI;6;2
PSO3;DI;6;3
VSC3;DI;6;4
HSO4;DI;6;5
VSC4;DI;6;6
MSO5;DI;6;7
PSO5;DI;6;8

VSC5;DI;7;1
HSO6;DI;7;2
PSO15;DI;7;3
VSC6_1;DI;7;4
VSC15;DI;7;5
VSC6_3;DI;7;6
PSO7;DI;7;7
VSC7;DI;7;8

PSO8;DI;8;1
VSC8;DI;8;2
PSO9;DI;8;3
VSC9;DI;8;4
PSO14;DI;8;5
VSC11_1;DI;8;6
VSC11_2;DI;8;7
VSC2;DI;8;8

VSC11_3;DI;9;1
PSO13;DI;9;2
VSC13;DI;9;3
VSC14;DI;9;4
VSC16;DI;9;6
PSO16;DI;9;7
PRESSURE_OK;DI;9;8

MCO1;DO;10;1
VCO1;DO;10;2
PCO2;DO;10;3
MCO3;DO;10;4
PCO3;DO;10;5
HCO4;DO;10;6
VCO4;DO;10;7
MCO5;DO;10;8

PCO5;DO;11;1
HCO6;DO;11;2
PCO15;DO;11;3
VCO6_1;DO;11;4
VCO6_3;DO;11;5
PCO7;DO;11;6
PCO8;DO;11;7
PCO9;DO;11;8

VCO11_3;DO;12;1
HCO17;DO;12;2
PCO16;DO;12;3
VCO11_1;DO;12;4
VCO11_2;DO;12;5
PCO13;DO;12;6
PCO14;DO;12;7
PCO18;DO;12;8

VSC18;DO;13;1
