Name;XT;Module;Channel

CEMENT_M_1;AI;0;0
WATER_M_1;AI;0;1
ADDITIONS_M_1;AI;0;2
FILLERS_M_1;AI;0;3
MIXER_I_1;AI;1;0

MIXER_ON_1;DO;2;0
MIXER_OFF_1;DO;2;1
MIXER_BELL_1;DO;2;2
MIXER_OPEN_1;DO;2;3
MIXER_CLOSE_1;DO;2;4
DCEMENT_OPEN_1;DO;2;5
DWATER_OPEN_1;DO;2;6
DADDITIONS_OPEN_1;DO;2;7
CONVEYOR_ON_1;DO;3;0
TCONVEYOR_ON_1;DO;3;1
AUGER_ON_1;DO;3;2
AUGER_ON_2;DO;3;3
WATER_OPEN_1;DO;3;4
ADDITION_OPEN_1;DO;3;5
ADDITION_OPEN_2;DO;3;6
FILLER_OPEN_1;DO;3;7
FILLER_OPEN_2;DO;4;0
FILLER_OPEN_3;DO;4;1
FILLER_OPEN_4;DO;4;2
AERATOR_ON_1;DO;4;3
AERATOR_ON_2;DO;4;4
WPUMP_ON_1;DO;4;5
APUMP_ON_1;DO;4;6
APUMP_ON_2;DO;4;7
VIBRATOR_ON_1;DO;5;0
VIBRATOR_ON_2;DO;5;1
VIBRATOR_ON_3;DO;5;2
VIBRATOR_ON_4;DO;5;3

MIXER_ISON_1;DI;6;0
MIXER_CLOSED_1;DI;6;1
MIXER_OPENED_1;DI;6;2
DCEMENT_CLOSED_1;DI;6;3
DWATER_CLOSED_1;DI;6;4
DADDITION_CLOSED_1;DI;6;5
CONVEYOR_ISON_1;DI;6;6
TCONVEYOR_ISON_1;DI;6;7
AUGER_ISON_1;DI;7;0
AUGER_ISON_2;DI;7;1
WATER_CLOSED_1;DI;7;2
ADDITION_CLOSED_1;DI;7;3
ADDITION_CLOSED_2;DI;7;4
FILLERS_CLOSED_1;DI;7;5
FILLERS_CLOSED_2;DI;7;6
FILLERS_CLOSED_3;DI;7;7
FILLERS_CLOSED_4;DI;8;0
WPUMP_ISON_1;DI;8;1
APUMP_ISON_1;DI;8;2
APUMP_ISON_2;DI;8;3
